"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Government Schemes","Info regarding PM KISAN YOJNA?
","NA","UTTAR PRADESH","LUCKNOW","MAL","2019-03-01T08:38:19.297"
"NA","HORTICULTURE","Vegetables","Bottle Gourd ","Seeds and Planting Material","Variety of Bottle Gourd...?","NA","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-03-01T09:17:32.247"
"NA","HORTICULTURE","Fruits","Mango","	Plant Protection	","Aam me mango malformation?","NA","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-03-01T09:20:11.587"
"NA","HORTICULTURE","Fruits","Jack Fruit","	Plant Protection	","Kathal ke phal kala pad rahi hai  ?","NA","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-03-01T10:36:14.62"
"NA","AGRICULTURE","Others","Others","Weather","Give me weather informatin in district Lucknow ?","NA","UTTAR PRADESH","LUCKNOW","KAKORI","2019-03-01T10:51:45.27"
"NA","AGRICULTURE","Others","Others","Government Schemes","Information about toll free number of Horticulture Department.....?","NA","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR","2019-03-01T11:16:02.803"
"NA","AGRICULTURE","Others","Others","Weather","Information about Weather of District. Lucknow ","NA","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB","2019-03-01T13:11:08.98"
"NA","AGRICULTURE","Others","Others","Market Information","Information about farmer's fair date?","NA","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ","2019-03-01T13:58:25.72"
"NA","AGRICULTURE","Others","Others","Government Schemes","Pradhanmantri Kisan Samman Nidhi Yojana Information......?","NA","UTTAR PRADESH","LUCKNOW","MALIHABAD","2019-03-01T16:23:16.753"
"NA","HORTICULTURE","Fruits","Mango","	Plant Protection	","Give information about plant protection of Mango fruits ?","NA","UTTAR PRADESH","LUCKNOW","KAKORI","2019-03-01T17:01:50.57"
