"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Weather","Disconnected","NA","UTTAR PRADESH","ALLAHABAD","JASRA","2019-04-01T07:15:16.353"
"NA","AGRICULTURE","Cereals","Wheat","	Water Management	","In the milk stage, irrigation of wheat crop can be done.?","NA","UTTAR PRADESH","ALLAHABAD","JASRA","2019-04-01T07:34:04.87"
"NA","HORTICULTURE","Vegetables","Tomato","	Plant Protection	"," To increase the size of tomato fruit....?","NA","UTTAR PRADESH","ALLAHABAD","HOLAGARH","2019-04-01T09:40:03.023"
"NA","HORTICULTURE","Fruits","Mango","	Plant Protection	","Thrips managment in mango crop ?","NA","UTTAR PRADESH","ALLAHABAD","SAIDABAD","2019-04-01T10:13:29.877"
"NA","AGRICULTURE","Others","Others","Soil Testing","Information about soil testing?","NA","UTTAR PRADESH","ALLAHABAD","KAURIHAR","2019-04-01T10:34:28.763"
"NA","HORTICULTURE","Fruits","Mango","Fertilizer Use and Availability","Firtilizer application in mango plants   ?
","NA","UTTAR PRADESH","ALLAHABAD","SORAON","2019-04-01T10:48:26.007"
"NA","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Weed Management","Weed control in moong crop?","NA","UTTAR PRADESH","ALLAHABAD","BAHRIA","2019-04-01T11:35:17.407"
"NA","HORTICULTURE","Fruits","Mango","0","Call Disconnect ","NA","UTTAR PRADESH","ALLAHABAD","0   ","2019-04-01T12:47:26.2"
"NA","AGRICULTURE","Others","Others","Weather","Information about weather report in Dist. Prayagraj (Mauima)  .......?
","NA","UTTAR PRADESH","ALLAHABAD","MAUAIMA","2019-04-01T13:14:00.77"
"NA","AGRICULTURE","Others","Others","Weather","Asking about weather information in Allahabad ?
","NA","UTTAR PRADESH","ALLAHABAD","MAUAIMA","2019-04-01T13:22:31.52"
"NA","AGRICULTURE","Others","Others","Weather"," Weather information in Allahabad district ...?","NA","UTTAR PRADESH","ALLAHABAD","HOLAGARH","2019-04-01T13:56:08.84"
"NA","AGRICULTURE","Others","Others","Weather","Please tell me about weather information in district-allahabad...?","NA","UTTAR PRADESH","ALLAHABAD","KAURIHAR","2019-04-01T13:58:13.453"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Whitefly control in Okra..?","NA","UTTAR PRADESH","ALLAHABAD","CHAKA","2019-04-01T14:02:02.12"
"NA","AGRICULTURE","Others","Others","Weather","Disconnected call...?","NA","UTTAR PRADESH","ALLAHABAD","KAURIHAR","2019-04-01T14:05:41.63"
"NA","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Cultural Practices","Information about Moong sowing time ?","NA","UTTAR PRADESH","ALLAHABAD","BAHRIA","2019-04-01T14:07:40.537"
