"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Wilt problem in Gram..?","kisan bhai aap fasal chakr apnaye","UTTAR PRADESH","CHITRAKOOT","KARWI","2019-01-01T10:48:41.647"
"NA","AGRICULTURE","Others","Others","Weather","please give me weather information.....?","kisan bhai aapke yaha 06 january ko halki barish ki sambhavna bni hui hai","UTTAR PRADESH","CHITRAKOOT","MAU","2019-01-01T11:39:11.233"
"NA","AGRICULTURE","Others","Others","Weather","weather information in chitrakoot","kisan Kisan bhai aap ke block me aaj se 5 january tak baadal bne rahne ki sambhawana hai sunday ko barish hone ki sambhawana hai","UTTAR PRADESH","CHITRAKOOT","MAU","2019-01-01T11:50:44.573"
"NA","AGRICULTURE","Others","Others","Weather","weather infermation of ","kisan bhai aapke yaha 6  janwari me barish  ki sambhawna hai  
","UTTAR PRADESH","CHITRAKOOT","PAHARI","2019-01-01T11:52:07.27"
"NA","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","POD BORRER PROBLEM IN PEGEON PEA CROP ?","Dear farmer use to Chlorpyriphos 20% EC 2ml/liter water splash in the field","UTTAR PRADESH","CHITRAKOOT","RAMNAGAR","2019-01-01T14:34:42.063"
"NA","AGRICULTURE","Oilseeds","Mustard","Nutrient Management","water management in mustard.....?","Daer farmer For the first irrigation in mustard, first irrigation after 30-40 days of sowing and after 70-80 days of second irrigation.","UTTAR PRADESH","CHITRAKOOT","RAMNAGAR","2019-01-01T15:24:41.98"
"NA","AGRICULTURE","Others","Others","Weather","Information about weather condition at ... district ?
","Dear farmer there will be cloudy weather and no possibility of rain till 6 January
","UTTAR PRADESH","CHITRAKOOT","MAU","2019-01-01T16:16:32.457"
"NA","AGRICULTURE","Others","Others","Weather","PLEASE TELL ME WEATHER INFORMATION...?","KISAN BHAI APKE YAHA ES SAPTAH ME 5 JANUARY TAK MAUSAM SAAF AUR AAGE 6 JANUARY KO HALKI BARISH KI SAMBHAVNA HAI.","UTTAR PRADESH","CHITRAKOOT","MAU","2019-01-01T16:21:19.843"
"NA","AGRICULTURE","Others","Others","Weather","Weather information ...?
","The weather here will be clean but there is a possibility of some drizzle
","UTTAR PRADESH","CHITRAKOOT","MAU","2019-01-01T16:23:42.37"
"NA","AGRICULTURE","Others","Others","Government Schemes","Bank ki jankari de ?","kisan bhai aap adhik jankari hetu bank se sampark kare ","UTTAR PRADESH","CHITRAKOOT","RAMNAGAR","2019-01-01T17:25:41.567"
