"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Weather","Tell me about weather information in district Ghaziabad?","Farmer brother there is a no possibility of rain in this week till 6 February.
","UTTAR PRADESH","GHAZIABAD","MURADNAGAR","2019-02-01T07:35:47.43"
"NA","AGRICULTURE","Others","Others","Training and Exposure Visits","FOR CALLING KISAAN CALL CENTER","THANX FOR CALLING KISAAN CALL CENTER","UTTAR PRADESH","GHAZIABAD","LONI","2019-02-01T07:45:50.507"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY ","UTTAR PRADESH","GHAZIABAD","LONI","2019-02-01T08:02:19.377"
"NA","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Plant protection in brinjal crop  ?","kisan bhai aap borex 2-3 gram / liter paani ke ghol me milaakar spray kare ","UTTAR PRADESH","GHAZIABAD","MURADNAGAR","2019-02-01T10:30:32.763"
"NA","AGRICULTURE","Others","Others","Training and Exposure Visits","TELL ME ABOUT CONTACT NUMBER OF PUSA DELHI ?","CONTACT NUMBER OF PUSA DELHI-1800118989","UTTAR PRADESH","GHAZIABAD","LONI","2019-02-01T13:46:46.163"
"NA","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Market Information","TELL ME SUGARCANE MARKETING RELATED PROBLEM ?","CONTECT FOR TOLL FREE HELPLINE  1800-180-4555","UTTAR PRADESH","GHAZIABAD","LONI","2019-02-01T14:28:15.5"
"NA","AGRICULTURE","Others","Others","Weather","Weather information of  district in ghaziabad??","kissan bhai 5,7 february ko hlke baadal chaye rahege aur din mousam saf rahega","UTTAR PRADESH","GHAZIABAD","RAJAPUR","2019-02-01T19:01:39.543"
"NA","AGRICULTURE","Others","Others","Government Schemes","TELL ME BIHAR STATE SUBSIDY RELATED PROBLEM ?","CONTECT IN DISTRICT AGRICULTURE DEPARTMENT .","UTTAR PRADESH","GHAZIABAD","LONI","2019-02-01T19:10:56.63"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY 
","UTTAR PRADESH","GHAZIABAD","LONI","2019-02-02T08:26:56.723"
"NA","AGRICULTURE","0","0","Weather","Weather information of Ghaziabad.....?

","Kisan bhai aapke yaha 02 se 07 February tak barish ki sambhavana nahi hai 
","UTTAR PRADESH","GHAZIABAD","MURADNAGAR","2019-02-02T12:35:33.25"
"NA","AGRICULTURE","Others","Others","Government Schemes","FOR CALLING KISAN CALL CENTER","THANX FOR CALLING KISAN CALL CENTER
","UTTAR PRADESH","GHAZIABAD","MURADNAGAR","2019-02-02T15:07:58.3"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 3 DAYS BUT  CLOUDY SKY.
","UTTAR PRADESH","GHAZIABAD","LONI","2019-02-02T16:59:05.093"
"NA","ANIMAL HUSBANDRY","Avian","Turkey","Integrated Farming","TELL ME POULTRY RELATED  INFORMATION ?","CONTECT FOR 18001805141","UTTAR PRADESH","GHAZIABAD","LONI","2019-02-03T11:43:45.56"
"NA","AGRICULTURE","Others","0","Weather","
TELL ME ABOUT WEATHER INFORMATION ?","LIGHT RAIN MAY BE AFTER 2-3 DAYS ","UTTAR PRADESH","GHAZIABAD","BHOJPUR","2019-02-03T12:30:13.47"
"NA","AGRICULTURE","Others","Others","Government Schemes","TELL ME GHAZIYABAD DISTRICT AGRICULTURE OFFICER?","CONTECT FOR 8429031935","UTTAR PRADESH","GHAZIABAD","MURADNAGAR","2019-02-03T14:21:39.893"
"NA","AGRICULTURE","Cereals","Oats ","Weed Management","control for weed in Oats crop ?","kisan bhai ap chare ki fasal me koi kharpatwar ki dva na dale ","UTTAR PRADESH","GHAZIABAD","RAJAPUR","2019-02-03T14:56:58.797"
