"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Cereals","Wheat","Weather","Give me about weather information......?
","kisan bhai ap ke yhan 6 January tak koi baris nhi hai, mousam saf rahega 
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T10:11:39.137"
"NA","AGRICULTURE","Others","Others","Weather","Information about weather condition at Kanpur dehat district ?","Dear farmer there will be clean weather and no possibility of rain till 6 January
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T10:17:28.66"
"NA","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Brinjal crop insect control...?","Dear farmer use to Quinalphos 25% EC 2ml/liter water splash in the field
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T10:23:15.877"
"NA","HORTICULTURE","Condiments and Spices","Fenugreek","	Plant Protection	","information about  in fenugreek for insect...?","Dear farmer use to Imidacloprid 17.8% SL 0.5 ml/liter water splash in the field
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T10:36:25.39"
"NA","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Gobhi ke paudh ki patti ko keede kat rhe hai ?
","Gobhi ke paudh par traizophase 40ec ki 1.5ml prati liter pani ke sath chhidkaw kare
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T10:39:41.08"
"NA","AGRICULTURE","Others","Others","Weather","Plz give me weather information ?
","Kisan Bhai, there is no possibility of the weather to be clear on January 6.
","UTTAR PRADESH","KANPUR DEHAT","DERAPUR","2019-01-01T11:23:50.74"
"NA","AGRICULTURE","Others","Others","Weather","Tell me about  weather information......?
","The weather will stay here cloud. And there is no possibility of rain
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-01T11:27:48.253"
"NA","AGRICULTURE","Others","Others","Weather","please give me weather information ........?","kisan bhai aapke yaha 06 january ko halki barish ki sambhavna bni hui hai","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-01T11:47:38.6"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Nutrient Management","information about in gram for nutrient management...?","kisan bhai ap N:P:K 19:19:19 1 kilogram /acre + sagarica 250 ml /acre ko 120-150 liter paani me ghol banaakar spray kare halki sinchai karne ke baad 25-30 % nami me spray kare","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T11:49:17.21"
"NA","AGRICULTURE","Others","Others","Weather","Give me weather information? 
","kisan bhai aap ke yaha koi barish nhi hai
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T11:50:14.9"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Water Management	","Chane ke fasal ki sichai karani thi ?","Chane ke fasal ki sichai awasyak hai to bauchhari sichai kar den","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T11:51:52.917"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","control of termite in wheat...?","kisan bhai gehu ki fsasl me fipronil 0.3 % gr 8 kilogram prati acre ki dar se balu me milakar bikhere","UTTAR PRADESH","KANPUR DEHAT","DERAPUR","2019-01-01T12:03:48.08"
"NA","AGRICULTURE","Others","Others","Weather","Weather information of .Kanpur dehat....?

","Kisan bhai aapke yaha 01 se 06 January tak barish ki sambhavana nahi hai 
","UTTAR PRADESH","KANPUR DEHAT","JHINJHAK","2019-01-01T12:11:58.117"
"NA","AGRICULTURE","Others","Others","Weather","Weather information  ..?
","kisan bhai aaj se 6 janvary tak hlke badal bane rahege baris ki sambhavana nahi hai.
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T12:16:09.64"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","weed control in bengal gram..?","Kisan Bhai: You should weeding - wound to remove weed in the gram crop.","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T12:19:25.61"
"NA","HORTICULTURE","Condiments and Spices","Garlic","Cultural Practices","fangal problem in garlic ...?","Dear farmer use to  Mancozeb 75% WP 2g/liter water splash in the field
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T12:38:06.21"
"NA","HORTICULTURE","Vegetables","Potato","	Plant Protection	","plant protection of potato crop   ?","kisan bhai aap aalu me  Metalaxyl-8% + Mancozeb-64% WP 2 gram /liter panee me ghol banakar spray kare ","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T12:49:11.89"
"NA","AGRICULTURE","Others","Others","Weather","Give me weather information? 
","kisan bhai aap ke yaha koi barish nhi hai
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T13:00:23.433"
"NA","AGRICULTURE","Cereals","Wheat","Varieties","Information about late varieties of wheat ?","Halna (K-7903), Unnat Halna (K-9423), Golden Halna (K-424)  ","UTTAR PRADESH","KANPUR DEHAT","AMRODHA","2019-01-01T13:10:59.673"
"NA","AGRICULTURE","Cereals","Wheat","Weed Management","information about weed management of wheat crop ?","dear farmer spry of salfosalfuran 75% + met salfuran methayal 5% wg 16 gram disolve in 200 liter water for per acre","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-01T13:33:53.917"
"NA","AGRICULTURE","Others","Others","Weather","Plz give me weather information ?
","Kisan Bhai, there is no possibility of the weather to be clear on January 6.
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T13:34:12.84"
"NA","AGRICULTURE","Others","Others","Weather","Weather information in Kanpur dehat..?
","Farmer brother, there is no possibility of rain till 06 January.
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T13:44:07.883"
"NA","AGRICULTURE","Cereals","0","0","Incomplete call....?","","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T13:59:13.62"
"NA","AGRICULTURE","Others","Others","Weather","Plz give me weather information ?
","Kisan Bhai, there is no possibility of the weather to be clear on January 6.
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T14:05:23.163"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","Nutrient managemenet in wheat crop   ? ","kisan bhai aap NPK 19:19:19 5 gram / liter paani ke ghol me milaakar spray kare ","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-01T14:07:21.553"
"NA","AGRICULTURE","Others","Others","Weather","     Weather Information ?","    
kisan bhai aap 1 january se lekar 6 january tak halke-halke badal chhaye rahenge lekin poore saptah barish hone ki koi sambhavna nhi hai 

","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T14:28:25.523"
"NA","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","plant protection in tomato ? ","Dear farmer use to Thiomethoxam25% WDG 40g/acre with 200 litre of water splash in the field
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T14:42:10.01"
"NA","AGRICULTURE","Others","Others","Weather","about weather information …? 	","possibilty of light rain fall in 6 january.","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T15:25:22.243"
"NA","HORTICULTURE","Vegetables","Indian Bean (Vegetable)","	Plant Protection	","INSECT PROBLEM IN BEANS.......?","Dear farmer use to Imidacloprid 17.8% SL 1ml/liter water splash in the field
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T16:17:12.313"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Mailathion  use of gram crop.........?","Kisan bhai aap isaka prayog chane ki fasal me kar sakate hai ","UTTAR PRADESH","KANPUR DEHAT","JHINJHAK","2019-01-01T16:47:40.183"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","GIVE INFORMATION ABOUT PLANT PROTECTION OF CHILLIES CROP ?","Kisan bhai aap mirch ki fasal ki punaha nirashan ke uprant roktham kare.","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T17:18:54.353"
"NA","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION KANPUR DEHAT ?
","kisan bhai aapke block me 6 january tk  barish ki sambhavna nhi hai.
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T17:28:13.56"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","GIVE INFORMATION TERMITE PROBLEM IN WHEAT CROPS ?","Kisan bhai aap gayhu ki fasal me dimak niyantran ke liye Carbofuran 3% GR @ 8 kilogram /acre ki dar se bikhrav kare.","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-01T17:35:54.877"
"NA","AGRICULTURE","Others","Others","Weather","Weather information ...?
","The weather will remain clear this week as well as the possibility of drizzling
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T17:56:15.13"
"NA","AGRICULTURE","Cereals","Wheat","Crop Insurance","toll free number of tata insurance co..?","kisan bhai aap es number par sampark kare-18002667780","UTTAR PRADESH","KANPUR DEHAT","MAITHA","2019-01-01T18:03:39.22"
"NA","AGRICULTURE","Cereals","Wheat","Weed Management","Weed control information of wheat crop.......?","Farmer brother Spray the control of the weeds in the wheat crop, sulphosulfuron 75% +Metsulfuron Methyl 5% WG @ 16 gram per acre.
","UTTAR PRADESH","KANPUR DEHAT","AKBARPUR","2019-01-01T18:37:20.27"
"NA","AGRICULTURE","Cereals","Wheat","Cultural Practices","first irrigation information in wheat crop..?","kisan bhai aap gehun me pahli sichai 21-22 din par kare.","UTTAR PRADESH","KANPUR DEHAT","AMRODHA","2019-01-01T18:42:27.53"
"NA","AGRICULTURE","Cereals","Wheat","Cultural Practices","first irrigation information in wheat crop..?","kisan bhai aap gehun me pahli sichai 21-22 din par kare.","UTTAR PRADESH","KANPUR DEHAT","AMRODHA","2019-01-01T18:42:27.907"
"NA","AGRICULTURE","Cereals","Wheat","Weed Management","Weed control information of wheat crop.......?","Kisan bhai aap kharpatwar ke niyantran ke liye carfentrazone ethyl 40 % df @ 20 gram prati acre ki dar se spray karen ","UTTAR PRADESH","KANPUR DEHAT","AKBARPUR","2019-01-01T18:42:34.817"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Plant protection in chillies crop......?","Dear farmer use to Carbendazim 12%+ Mancozeb 63% WP 2g/liter water splash in the field
","UTTAR PRADESH","KANPUR DEHAT","DERAPUR","2019-01-01T19:01:59.347"
"NA","AGRICULTURE","0","0","0","Blank ?","blank","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T19:20:05.857"
"NA","AGRICULTURE","Cereals","Wheat","	Water Management	","irrigation information ?","kisan bhai gehun  ki pahli sichai  bubai ke 22 - 25 din par ki jati hai  ","UTTAR PRADESH","KANPUR DEHAT","AMRODHA","2019-01-01T19:36:37.94"
"NA","HORTICULTURE","Condiments and Spices","Garlic","Nutrient Management","Nutrient management in garlic crop?"," kisan bhai- micro nutrient ki 1 kilogram / acre ki dar se 150 liter pani me milaker spray kare","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T20:10:48.77"
"NA","AGRICULTURE","Others","Others","Weather","Information of weather in Kanpur Dehat   ?","kisan bhai aaj se lekar 5 january tak baarish hone ki koi sambhavana nahi hai aur 6 january ko baarish hone ki sambhavana hai","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-01T20:18:18.913"
"NA","AGRICULTURE","Others","Others","Weather","PLEASE TELL ME WEATHER INFORMATION...?
","KISAN BHAI APKE YAHA ES SAPTAH ME 5 JANUARY TAK MAUSAM SAAF AUR AAGE 6 JANUARY KO HALKI BARISH KI SAMBHAVNA HAI.","UTTAR PRADESH","KANPUR DEHAT","JHINJHAK","2019-01-01T20:43:28.897"
"NA","AGRICULTURE","Others","Others","Weather","Asking about weather information in district...?","Kisan bhai aapke shatra me 06 January tak barish ke koi sambhavana nhi hai","UTTAR PRADESH","KANPUR DEHAT","MAITHA","2019-01-02T06:37:22.89"
"NA","AGRICULTURE","Others","Others","Weather","plz give me weather information ?
","The weather is clear till 7 January, there is no possibility of a baris
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T06:47:39.367"
"NA","AGRICULTURE","Others","0","Weather","Give me weather information? 
","kisan bhai aap ke yaha koi barish nhi hai
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T07:01:37.13"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","leaf curling in chilies crops..?","kisan bhai Imidacloprid 17.8% SL 1ml/2 liter pani ki dar se sprey kre aur mancozeb 75% WP 2 gram/ liter pani ki dar se sprey kre","UTTAR PRADESH","KANPUR DEHAT","JHINJHAK","2019-01-02T07:04:01.777"
"NA","AGRICULTURE","Others","Others","Weather","weather information of kanpur dehat.....?","kisan bhai aapke shetra me 06-07 january ko baris ki sambhawna bni hui hai.
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T07:40:14.94"
"NA","AGRICULTURE","Others","Others","Weather"," plz give me weather information in 
","  kisan bhai is sptah baadal dikhai de rhe hai lekin barish ki koi sambhavna nhi hai is     sptah","UTTAR PRADESH","KANPUR DEHAT","DERAPUR","2019-01-02T07:40:45.27"
"NA","AGRICULTURE","Others","Others","Weather","weather information ?","kisaan bhai aapke yahn par poore saptah me 6 january ko hlki bundaa-baandi hone ki sambhawana hai ","UTTAR PRADESH","KANPUR DEHAT","JHINJHAK","2019-01-02T07:51:39.637"
"NA","AGRICULTURE","Others","Others","Weather","weather information of kanpur...?","kisan bhai aapke shetra me 06-07 january ko baris ki sambhawna bni hui hai.

","UTTAR PRADESH","KANPUR DEHAT","JHINJHAK","2019-01-02T07:58:40.407"
"NA","AGRICULTURE","Others","Others","Weather","Information about weather    in      rasulabad……………………………….?
","You have the possibility of rain on January 6
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T08:04:20.68"
"NA","AGRICULTURE","Others","Others","Weather","Weather Information ?
","The farmers' brother is likely to be in the city on January 6 and 7
","UTTAR PRADESH","KANPUR DEHAT","MAITHA","2019-01-02T08:18:35.827"
"NA","AGRICULTURE","Others","Others","Weather","weather information of  kanpur........?","kisan bhai aapke shetra me 06-07 january ko baris ki sambhawna bni hui hai.

","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T08:27:51.763"
"NA","AGRICULTURE","Others","Others","Weather","weather infermation of  kanpur dehat........?","kisan bhai aapke yaha 6 janwari me bundabadi  ki sambhawna hai  
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T08:27:57.923"
"NA","AGRICULTURE","Cereals","Wheat","Weed Management","Weed management in wheat ?","Sulfosulfuran + metsulfuran @ 16 gm / acre ","UTTAR PRADESH","KANPUR DEHAT","AKBARPUR","2019-01-02T08:51:43.62"
"NA","AGRICULTURE","Others","Others","Agriculture Mechanization","information of Khet-Talab scheme ?","kisan bhai ap matsya vibhag se sampark karen","UTTAR PRADESH","KANPUR DEHAT","MALASA","2019-01-02T09:26:57.473"
"NA","AGRICULTURE","Others","Others","Weather","weather infermation of  Kanpur dehat ........?","kisan bhai aapke yaha 6 janwari me bundabadi  ki sambhawna hai  
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T09:30:10.933"
"NA","AGRICULTURE","Others","Others","Weather","About weather information of Kanpur Dehat?","Farmer brother, you are likely to get drowsy on January 6.
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T09:44:59.727"
"NA","AGRICULTURE","Others","Others","Weather","weather information ?","kisaan bhai aapke yahn par [poore saptah me 6 january ko hlki bundaa-baandi hone ki sambhawana hai ","UTTAR PRADESH","KANPUR DEHAT","RAJPUR","2019-01-02T09:47:22.75"
"NA","AGRICULTURE","Others","Others","Weather","mausam ki jankari de ?","06 jaunuary me boonda baandi hone ka anuman hai
","UTTAR PRADESH","KANPUR DEHAT","JHINJHAK","2019-01-02T10:17:28.857"
"NA","HORTICULTURE","Vegetables","Sweet Potato","	Plant Protection	","Information about seed treatment  ?
","Before Farmers sow seeds Trichoderma 4 g / kg. To the sowing and treated at a rate of seeds |
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T10:54:37.51"
"NA","AGRICULTURE","0","0","Weather","Please tell me weather information of kanpur dehat…?  
"," Kisan Bhai, there will be light clouds here but there is no possibility of rain
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T11:00:51.357"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Control of Blight in Gram?
","Dear farmer spray of Copper oxychloride 50% @ 400 gram/acre with 200 liter of water 
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T11:02:12.943"
"NA","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION?","KISAN BHAI AP KE YAHA 6 JANUARY KO BARESH HONE KE SAMBHWANA HAI
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T11:03:31.26"
"NA","AGRICULTURE","Others","Others","Weather","Weather information in Jhinjhak..?","kisan bhai aapke yaha 06 janwari  me bundabadi  ki sambhawna hai 
","UTTAR PRADESH","KANPUR DEHAT","JHINJHAK","2019-01-02T11:03:49.527"
"NA","AGRICULTURE","Others","Others","Weather","About weather information of Kanpur Dehat?
","Farmer brother,there is no possibility of rain from January 2  to January 7.
","UTTAR PRADESH","KANPUR DEHAT","RAJPUR","2019-01-02T11:19:59.317"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","plant  growthpermoter  of  wheat.........?","kisan bhai aap Amino acid 8-10 kg /ekad ki dar se prayog kare
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T11:37:45.457"
"NA","AGRICULTURE","Others","Others","Weather","Weather information in Kanpur dehat district ...?","Kisan Bhai This week you are likely to have a clear weather
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T11:44:19.83"
"NA","AGRICULTURE","Others","Others","Weather","Information of weather in Kanpur Dehat   ?","kisan bhai aaj se lekar 7 january se lakar baarish hone ki koi sambhavana nahi hai ","UTTAR PRADESH","KANPUR DEHAT","SANDALPUR","2019-01-02T12:05:49.13"
"NA","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","pea information ?","kisan bhai ap aminoacid 2ml/liter ke dar se ghol bana kar spray kare matar ke fasal me","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T12:19:33.527"
"NA","AGRICULTURE","Others","Others","Weather","Information of weather in Kanpur Dehat ?
","Kisan bhai aaj se lekar 5 january tak baarish hone ki sambhavana nahi hai aur 6 january ko hlki baarish hone ki sambhavana hai aur 7 january ko baarish nahi hai 
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T13:24:46.06"
"NA","AGRICULTURE","Others","Others","Weather","Give me weather information? 
","kisan bhai aap ke yaha koi barish nhi hai
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T13:25:10.927"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","information to enhance agrowth in wheat crop..........? ","kisaan bhai aap NPK 19:19;19 ki 3 gram matra tatha micronutrients ki 2 gram matra ko ek sath ghol kar / 1 liter paani ki dar se spray kare.
","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T13:53:25.91"
"NA","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Incomplete call","","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T14:09:00.913"
"NA","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","	Plant Protection	","INFORMATION FOR THRIPS INSECT IN MUSTERD CROP?","kisan bhai aap imidacloroprid 17.8% sl ki matraa- 70-80 ml/acre, 160-170 litar pani ke sath milaakar sprey kare ","UTTAR PRADESH","KANPUR DEHAT","RAJPUR","2019-01-02T14:13:21.78"
"NA","AGRICULTURE","Others","Others","Weather","Information of weather ...?","Kisan bhai aapke yha 6 january ko halki baris ki sambhavna hai.","UTTAR PRADESH","KANPUR DEHAT","JHINJHAK","2019-01-02T14:19:05.347"
"NA","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","INFORMATION ABOUT INSECT CONTROL IN MUSTARD CROP .....?","KISAN BHAI AP SARSO KI FASAL ME MAILATHIYAN 5 % DP 7-8 KG / ACRE KE HISAB SE RAKH ME MILAKAR SUBAH KE SAMAY DHURKAW KARE ","UTTAR PRADESH","KANPUR DEHAT","RAJPUR","2019-01-02T15:21:27.057"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Wilt problem in Bengal gram...?","kisan bhai aap chane ki fasal me Carbendazim 12% + Mancozeb 63% WP @ 2 gram dwa prati liter pani me gholkar sprey kare.","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T15:32:50.673"
"NA","AGRICULTURE","Cereals","Wheat","Weed Management","weed control in wheat ?","Sulfosulfuron 75% + Metsulfuran Methyl 5% WG 16 gm / acre me 150 liter pani ke sath spray karen ","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T16:00:30.95"
"NA","AGRICULTURE","Cereals","Wheat","Cultural Practices","Information of irrigation in wheat crop...?","kisan bhai aap Genhu ki fasal me pahli sinchai 21 - 25 din pr kare.","UTTAR PRADESH","KANPUR DEHAT","SANDALPUR","2019-01-02T16:36:22.93"
"NA","AGRICULTURE","Others","Others","Weather","weather information ?","kisan bhai aapke yhan 6 january me halki bunda baandi hone ki sambhawana hai ","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T16:39:21.473"
"NA","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","weed management in coriander ...?","Weed out the weeding in the farmer's brother farm.","UTTAR PRADESH","KANPUR DEHAT","AMRODHA","2019-01-02T16:57:49.233"
"NA","AGRICULTURE","Others","Others","Weather","Weather information in Rasulabad.........?
","Dear farmer, there is a possibility of possibility of light evaporation on January 6 
","UTTAR PRADESH","KANPUR DEHAT","RASULABAD","2019-01-02T17:06:58.27"
"NA","HORTICULTURE","Vegetables","Dolichos Bean","	Plant Protection	","White fly  ki problem?","kisan bhai- neem oil 5 ml /liter pani ki dar se spray kare","UTTAR PRADESH","KANPUR DEHAT","SARBANKHERA","2019-01-02T17:17:13.093"
"NA","AGRICULTURE","Others","Others","Weather","Weather information of kanpur dehat...?","Kisan bhai aapke yha 6 january ko halki baris ki sambhavna hai.","UTTAR PRADESH","KANPUR DEHAT","MAITHA","2019-01-02T18:10:24.363"
