"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Weather","Information Of Weather in Meerut District    ?","NA","UTTAR PRADESH","MEERUT","SARURPUR KHURD","2019-05-01T06:10:49.65"
"NA","AGRICULTURE","Others","Others","Weather","Please tell me about Weather information of Meerut….? ","NA","UTTAR PRADESH","MEERUT","HASTINAPUR","2019-05-01T06:57:38.663"
"NA","AGRICULTURE","Others","Others","Weather","Please give me weather information in district  Meerut ..? ","NA","UTTAR PRADESH","MEERUT","MAWANA KALAN","2019-05-01T07:32:46.637"
"NA","AGRICULTURE","Oilseeds","Mustard","Market Information","Give information about Mandi bhaav of mustard crops ?","NA","UTTAR PRADESH","MEERUT","MAWANA KALAN","2019-05-01T07:52:55.197"
"NA","AGRICULTURE","Others","0","Weather","Give information about weather information in district Meerut  ?","NA","UTTAR PRADESH","MEERUT","MAWANA KALAN","2019-05-01T07:56:34.783"
"NA","AGRICULTURE","Others","Others","Weather","Information of weather in Block Sardhana District Meerut….?","NA","UTTAR PRADESH","MEERUT","SARURPUR KHURD","2019-05-01T08:29:50.03"
"NA","AGRICULTURE","Others","Others","Weather","Information of Weather in  Meerut District...?
","NA","UTTAR PRADESH","MEERUT","JANIKHURD","2019-05-01T09:05:59.59"
"NA","AGRICULTURE","Others","Others","Weather","Weather information of  () district.....?
","NA","UTTAR PRADESH","MEERUT","SARURPUR KHURD","2019-05-01T09:19:07.29"
"NA","AGRICULTURE","Others","Others","Weather","Please give me weather information in district  Meerut ..? ","NA","UTTAR PRADESH","MEERUT","PARIKSHITGARH","2019-05-01T09:24:09.23"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Fertilizer Use and Availability","bhindi me 60 din per NPK ka prayog kese kare ","NA","UTTAR PRADESH","MEERUT","MAWANA KALAN","2019-05-01T11:04:52.61"
"NA","HORTICULTURE","Flowers","Rose","	Plant Protection	","Plant Protection in Rose...?","NA","UTTAR PRADESH","MEERUT","HASTINAPUR","2019-05-01T11:31:38.79"
"NA","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Information about Termite control in Sugarcane Crop ....?","NA","UTTAR PRADESH","MEERUT","ROHTA","2019-05-01T17:18:33.067"
"NA","AGRICULTURE","Others","Others","Weather","Asking about weather information of district Meerut.....?
","NA","UTTAR PRADESH","MEERUT","SARURPUR KHURD","2019-05-01T19:40:56.967"
"NA","AGRICULTURE","Others","Others","Weather","Information about weather from Mawana,Meerut..?","NA","UTTAR PRADESH","MEERUT","MAWANA KALAN","2019-05-01T21:12:44.137"
"NA","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Early shoot borer control in Sugarcane...?","NA","UTTAR PRADESH","MEERUT","MAWANA KALAN","2019-05-01T21:14:23.54"
"NA","AGRICULTURE","Others","Others","Weather","Information about in Weather for Meerut...?","NA","UTTAR PRADESH","MEERUT","KHARKHODA","2019-05-02T06:11:19.9"
"NA","AGRICULTURE","Others","Others","Weather","Information about weather report in Dist. Meerut (Sardhana)   ..........?","NA","UTTAR PRADESH","MEERUT","SARURPUR KHURD","2019-05-02T06:25:39.22"
"NA","AGRICULTURE","Others","Others","Government Schemes","Loan information ","NA","UTTAR PRADESH","MEERUT","DAURALA","2019-05-02T07:09:24.557"
"NA","AGRICULTURE","Others","Others","Government Schemes","Information In The Prime Minister Kisan Saman Yojana Private...?
","NA","UTTAR PRADESH","MEERUT","DAURALA","2019-05-02T07:13:21.977"
"NA","AGRICULTURE","Others","Others","Weather","    Please give me weather information for Meerut  ? 
","NA","UTTAR PRADESH","MEERUT","MACHRA","2019-05-02T08:26:27.4"
"NA","AGRICULTURE","Others","Others","Government Schemes","PM Kisan Samman Nidhi Yojana...?","NA","UTTAR PRADESH","MEERUT","ROHTA","2019-05-02T09:38:33.87"
"NA","AGRICULTURE","Others","Others","Government Schemes","Pradhan mantri kisan samman nidhi yojana ki jankari de?","NA","UTTAR PRADESH","MEERUT","SARDHANA","2019-05-02T10:16:10.67"
"NA","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Varieties","TELL ME ABOUT VARIETIES OF COTTON ","NA","UTTAR PRADESH","MEERUT","KHARKHODA","2019-05-02T11:29:41.91"
"NA","HORTICULTURE","Vegetables","Watermelon","Nutrient Management","Nutrient for Water melon .....?","NA","UTTAR PRADESH","MEERUT","MACHRA","2019-05-02T12:08:57.863"
"NA","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Warm pest in Sugarcane...?","NA","UTTAR PRADESH","MEERUT","ROHTA","2019-05-02T12:23:54.733"
"NA","AGRICULTURE","Others","Others","Weather","Weather information about district Meerut...?
","NA","UTTAR PRADESH","MEERUT","SARURPUR KHURD","2019-05-02T12:57:08.73"
"NA","AGRICULTURE","Others","Others","Weather","Weather information about District Merrut ?","NA","UTTAR PRADESH","MEERUT","MACHRA","2019-05-02T13:22:44.39"
"NA","HORTICULTURE","Vegetables","Chillies","Cultural Practices","Mirch me badvar nahi ho rahe hai  ?","NA","UTTAR PRADESH","MEERUT","MACHRA","2019-05-02T13:26:05.15"
"NA","HORTICULTURE","Vegetables","Chillies","Cultural Practices","Spacing required for chilies....?","NA","UTTAR PRADESH","MEERUT","MACHRA","2019-05-02T13:33:14.44"
"NA","AGRICULTURE","Others","Others","Weather","Weather information of mawana , district meerut     ?","NA","UTTAR PRADESH","MEERUT","MAWANA KALAN","2019-05-02T16:08:15.9"
"NA","AGRICULTURE","Others","Others","Weather","disconnect call","NA","UTTAR PRADESH","MEERUT","KHARKHODA","2019-05-02T17:43:00.353"
"NA","AGRICULTURE","Others","Others","Weather","P.M.Kisan samman nidhi yozna ka paisa aane ke  sambandh me jankari ?","NA","UTTAR PRADESH","MEERUT","PARIKSHITGARH","2019-05-02T17:47:11.673"
"NA","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Early shoot borer control in Sugarcane...?","NA","UTTAR PRADESH","MEERUT","ROHTA","2019-05-02T17:47:13.233"
"NA","AGRICULTURE","Others","Others","Weather","plz, tell me weather information for meerut  dist?","NA","UTTAR PRADESH","MEERUT","SARURPUR KHURD","2019-05-02T17:58:43.057"
"NA","AGRICULTURE","Others","Others","Weather","Information of weather in Block Hastinapur District Merrut…?","NA","UTTAR PRADESH","MEERUT","HASTINAPUR","2019-05-02T17:59:45.6"
"NA","AGRICULTURE","Others","Others","Weather","Weather information of district -Meerut  .........?","NA","UTTAR PRADESH","MEERUT","HASTINAPUR","2019-05-02T18:01:09.357"
