"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","Farmer wants to know information about How to control of fungal attack in ground nut crop?

","Recommended for to control of fungal attack use Copper oxy chloride 50% WP @ 40 gram and Streptocyclin (Streptomycin sulphate IP 90% + Tetracycline hydrochloride IP 10%) @ 2 gram at 15 liter of water.
","MADHYA PRADESH","BARWANI","SENDHAWA","2019-02-01T11:39:53.497"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about  Jai Kisan Crop Loan Mafi Scheem.

","Dear farmer, to avail the Jai kisan crop loan Mafi scheme, contact your agriculture officer in the nearest bank of your district and link your Aadhaar card and mobile number to the banks which have been taking short-term crop loans.
","MADHYA PRADESH","BARWANI","SENDHAWA","2019-02-02T09:09:41.27"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about agriculture scheme tractor subsidy scheme?
","To know information about agriculture scheme tractor subsidy please contact mp online dbt.mpdage.org    site.
Tractor (0-20 hp)- 1 lac rupee (35%) for st,sc
75000 rupee (25%) for general
Tractor (20-70 hp)- 1.25 lac rupee (35%) for st,sc
1 lac rupee (25%) for general
","MADHYA PRADESH","BARWANI","SENDHAWA","2019-02-02T09:11:05.183"
"NA","HORTICULTURE","Fruits","Melon","Vegetative Propagation and Tissue Culture","farmer want to know information about varieties of water melon?
","recommended for varieties of water melon Sugar Baby.its average yield 400-450 quintal per hecter and maturity time is approx  85 days .","MADHYA PRADESH","BARWANI","RAJPUR","2019-02-02T13:15:18.097"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to start mandi rate facility on his mobile?","Your mandi rate facility registration has been successfully registered at kisan call center.	
","MADHYA PRADESH","BARWANI","RAJPUR","2019-02-02T14:08:01.317"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about govt. Schemes?
","Recommended for to know about govt. Schemes please contact rural agriculture extension officer.
","MADHYA PRADESH","BARWANI","RAJPUR","2019-02-02T15:02:02.473"
"NA","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Farmer needs information regarding how to control sucking pest in      onion crop?","?recommended  to farmer Spray fipronil 5 %@ 25 ml at 15 liter of water.","MADHYA PRADESH","BARWANI","BARWANI","2019-02-03T08:16:27.307"
"NA","AGRICULTURE","Others","Others","Market Information","Farmer want to know information about mandi rate of Indore market of Onion  crop ?
","Recommended mandi rate of Onion crop in Indore district :-
31/01/2019 Mandi  : Indore(F&V)Commodity : Onion(Modal Price): 400/Quintal","MADHYA PRADESH","BARWANI","RAJPUR","2019-02-03T08:36:25.33"
"NA","AGRICULTURE","Others","Others","Weather","Farmer needs information regarding for barwani dist. Of state madhya pradesh?
","According to meteorology department of India there is no chance of rainfall for next 5 days for your barwani district but weather will be cloudy.
","MADHYA PRADESH","BARWANI","BARWANI","2019-02-03T09:13:12.33"
"NA","AGRICULTURE","Others","Others","Weather","OUT OF STATE CALL
","OUT OF STATE CALL
","MADHYA PRADESH","BARWANI","0   ","2019-02-03T11:15:41.73"
"NA","AGRICULTURE","Others","Others","Weather","OUT OF STATE CALL
","OUT OF STATE CALL
","MADHYA PRADESH","BARWANI","0   ","2019-02-03T11:18:57.527"
