"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","Farmer wants to know information about how to increase growth of wheat?  ","Recommended for to increase growth of wheat foliar application of iffco 00:52:34 water soluble fertilizer @ 100 gm/pump.
","MADHYA PRADESH","JABALPUR","SIHORA","2019-02-01T08:45:05.153"
"NA","AGRICULTURE","Others","Others","Weather","Farmer wants to know information about scheme of animal husbandary?
","Recommended for to know information about animal husbandry please contact to your veterinary department or contact 18001801199 or 18001805141 or  18001806224 or 1962
","MADHYA PRADESH","JABALPUR","JABALPUR","2019-02-01T11:04:59.457"
"NA","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Farmer need information regarding control measures of fungal attack in wheat crop?","Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.
","MADHYA PRADESH","JABALPUR","MAJHOULI","2019-02-01T12:05:17.61"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","Farmer need information regarding how to enhance growth of wheat crop which is stunted.
","Recommended for Spray N: P: K 0:52:34 100 grams and humic acid 30 ml at 15 liter of water for better growth of wheat crop.
","MADHYA PRADESH","JABALPUR","PATAN","2019-02-01T14:26:49.65"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about how to control defoliators in wheat crop ?"," Indoxacarb 14.5 % SC @ 10-12ml /pump","MADHYA PRADESH","JABALPUR","SIHORA","2019-02-01T15:31:29.25"
"NA","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","farmer want to know information about  how to increase growth of  wheat?
","Recommended for foliar application of n:p:k 19:19:19 water soluble fertilizer @ 100 gm/pump.
","MADHYA PRADESH","JABALPUR","MAJHOULI","2019-02-01T15:31:34.523"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Farmer need information regarding control measures of karnal bunt disease in wheat crop?
","Recommended for spray of Propiconazole 25% EC 200 -300 ml per acer for control of karnal bunt disease in wheat crop. or 
","MADHYA PRADESH","JABALPUR","PATAN","2019-02-01T16:59:14.08"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Farmer need information regarding control measures of fungal attack in Wheat crop?","Recommended dose of spray tebuconazol 25% ec 20 ml at 15 per pump .
","MADHYA PRADESH","JABALPUR","SIHORA","2019-02-01T17:23:07.197"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Farmer need information regarding control measures of caterpillers  attack in wheat crop.
","Recommended for Spray of Chlorpyriphos 50% + Cypermethrin 5% EC 1000 Ml. / hectar for control of caterpillers  attack in wheat crop.
","MADHYA PRADESH","JABALPUR","PATAN","2019-02-01T17:44:58.09"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about  How to control caterpillars in wheat crop?
","control for catterpiller in wheat crop spray of Troijofos 40 EC (40ml /pump )  
","MADHYA PRADESH","JABALPUR","PATAN","2019-02-01T18:19:16.997"
"NA","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","How to increase size and production in wheat crop?","Recommended for N: P: K 0:52:34 1 kg at per Acer","MADHYA PRADESH","JABALPUR","SIHORA","2019-02-02T07:43:27.47"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer wants to know the information about lower leaves yellowing remedy?","since you have 25 lit pump you can spray 6 pump in 1 acre field and dissolve urea 200 gm in 1 pump and spray ","MADHYA PRADESH","JABALPUR","MAJHOULI","2019-02-02T10:09:32.887"
