"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about govt. Schemes?","Recommended for to know about govt. Schemes please contact rural agriculture extension officer.
","MADHYA PRADESH","BHOPAL","BERASIA","2019-02-01T12:42:28.637"
"NA","AGRICULTURE","Others","Others","Weather","Farmer needs information regarding for berasia block . Of state madhya pradesh?
","Light chance for rainfall in next 8 days for your bersia block  and today temperature is 7-22 degree centigfrate and the speed of the wind will be between 21 kmph.
","MADHYA PRADESH","BHOPAL","BERASIA","2019-02-01T15:10:39.903"
"NA","AGRICULTURE","Others","Others","Government Schemes","farmer want to know information about govt. schemes?
","recommended for to know about govt. schemes please contect rural agriculture extension officer ..
","MADHYA PRADESH","BHOPAL","BERASIA","2019-02-01T15:54:52.527"
"NA","HORTICULTURE","Vegetables","Onion","Cultural Practices","Farmer want to know information about How to control of weed attack in onion  crop ?
","Recommended weedicide  to control of weed attack in Onion  crop Oxyflorfen @80ml/acer.
","MADHYA PRADESH","BHOPAL","PHANDA","2019-02-02T08:05:17.97"
"NA","AGRICULTURE","Others","Others","Market Information","farmer want to knoe site if market information ","please visit http://agmarknet.nic.in/agnew/NationalBEnglish/StateDistrict.aspx?ss=1---- ","MADHYA PRADESH","BHOPAL","BERASIA","2019-02-02T10:42:27.203"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about poultry farm?","
Recommended for to know information about poultry farm contact to 9827015205 (mr.bhadoriya ji bhopal) or your animal hospital/veterinary doctor
","MADHYA PRADESH","BHOPAL","BERASIA","2019-02-02T11:27:27.01"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer wants the information about wheat registration?","Registration of Kisan Bhai Wheat will run from 21st December to 23th Feb","MADHYA PRADESH","BHOPAL","BERASIA","2019-02-02T11:47:55.203"
"NA","AGRICULTURE","Others","Others","Government Schemes","farmer want to know about BHAVANTAR Yojna?","Contact information regarding Kisan Bhai Bhavnatar Yojana on this number 18002332501, 0755-2550495.
","MADHYA PRADESH","BHOPAL","BERASIA","2019-02-02T11:49:10.647"
"NA","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","Farmer want to know how to control fungal attack in bottle gourd ?
","Recommended for to control of fungal attack spray carbandazim + mancozeb 40gm.and streptocyclin 1.5 gram at 15 liter of water
","MADHYA PRADESH","BHOPAL","BERASIA","2019-02-02T12:00:58.273"
"NA","AGRICULTURE","Others","Others","Weather","Farmer wants to know about weather information ?
","Dear Kisan Brother, there is no possibility of rain for the next 5 days in your  bhopal    district, the maximum temperature is 26 degree centigrade and the minimum temperature is likely to be 14 degree centigrade, and wind speed is likely to run at 5 kilometers and 10 kilometers .","MADHYA PRADESH","BHOPAL","BERASIA","2019-02-02T12:53:00.31"
