"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about agriculture related govt. Schemes ?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-01T14:14:11.287"
"NA","AGRICULTURE","Others","Others","Weather","Farmer needs information regarding weather for berasia block of state madhya pradesh?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-01T16:40:10.407"
"NA","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","Farmer want to know information about crop Bottle Gourd  ?
","NA","MADHYA PRADESH","BHOPAL","PHANDA","2019-05-02T06:36:10.31"
"NA","HORTICULTURE","Vegetables","Snake Gourd","	Plant Protection	","Farmer want to know information about increasing more flowering ?
","NA","MADHYA PRADESH","BHOPAL","PHANDA","2019-05-02T06:38:20.82"
"NA","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","Farmer need information regarding control measures of fungal attack in bitter gourd crop?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-02T09:44:55.077"
"NA","AGRICULTURE","Millets","Maize (Makka)","Sowing Time and Weather","farmer want to know information about sowing time of maize ?","NA","MADHYA PRADESH","BHOPAL","PHANDA","2019-05-02T14:38:07.557"
"NA","AGRICULTURE","Others","Others","Cultural Practices","farmer want to  know about of vermicompost  ?","NA","MADHYA PRADESH","BHOPAL","PHANDA","2019-05-02T15:26:17.627"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know about varieties of maize crop?
","NA","MADHYA PRADESH","BHOPAL","PHANDA","2019-05-02T20:45:07.473"
"NA","AGRICULTURE","Others","Others","Weather","Farmer needs information regarding for bhopal dist. Of state madhya pradesh?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-03T10:33:44.403"
"NA","HORTICULTURE","Condiments and Spices","Ginger","Cultural Practices","Farmer wants to know information about varieties of ginger crop?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-03T11:32:34.847"
"NA","HORTICULTURE","Fruits","Mango","	Plant Protection	","Farmer wants to know information about how to increase growth of mango crop ?  ","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-03T14:32:12.093"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer needs information regarding address of organic certification agency Bhopal?","NA","MADHYA PRADESH","BHOPAL","PHANDA","2019-05-03T14:33:19.703"
"NA","AGRICULTURE","Others","Others","Weather","Farmer want to know information regarding weather forcast for bhopal district of state madhya pradesh ?","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-03T14:48:20.537"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Nutrient Management","farmer want to know information about nutrient management in Okra crop ?","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-03T17:15:11.663"
"NA","AGRICULTURE","Others","Others","Weather","Farmer needs information regarding weather for berasia block of state madhya pradesh?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-03T21:43:09.86"
"NA","AGRICULTURE","Others","Others","Soil Health Card","Farmer want to know about where we doing soil testing in our district?
","NA","MADHYA PRADESH","BHOPAL","PHANDA","2019-05-04T09:14:44.673"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Nutrient Management","Farmer want to know information about  how to increase  of bhind crop ?
","NA","MADHYA PRADESH","BHOPAL","PHANDA","2019-05-04T09:53:26.663"
"NA","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","farmer want to know information about how to control tobacco caterpillar in Brinjal ?","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-04T10:07:49.213"
"NA","AGRICULTURE","Others","Others","Weather","BLANK CALL ","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-04T11:08:32.663"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Cultural Practices","farmer wants to know about sowing time of okra crop?","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-05T09:50:07.273"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Farmer needs information regarding control measures of caterpillars in okra crop?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-05T10:51:08.04"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Farmer needs information regarding how to control sucking pest in okra crop?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-05T10:54:27.893"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Farmer want to know how to control sucking pest in bhindi crop?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-05T11:01:04.76"
"NA","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","Farmer needs information regarding control measures of caterpillars & sucking pest in bitter gourd crop?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-05T20:22:09.967"
"NA","AGRICULTURE","Others","Others","Market Information","Farmer wants to know about  rate of coriander seed at biaora mandi   and onion at bhopal mandi of Madhya Pradesh?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-06T08:28:49.573"
"NA","AGRICULTURE","Others","Others","Weather","farmer want to know information about weather forecast of berasia block bhopal  district madhya pradesh?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-06T08:30:35.903"
"NA","AGRICULTURE","Others","Others","Organic Farming","Farmer need information regarding earthworms to prepare vermi compost ?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-06T17:38:50.827"
"NA","AGRICULTURE","Oilseeds","Soybean (bhat)","Varieties","Farmer want to know information about varieties of SOYBEAN?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-07T09:25:13.543"
"NA","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","Farmer  wants  to know information about disease management of buffalo?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-07T20:47:03.013"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer  wants  to know information about govt. Schemes of horticulture?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-09T18:49:12.56"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Water Management, Micro Irrigation","Farmer want to know information about  growth of okra crop?","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-10T10:23:41.183"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Farmer wants to know about how to control red spider in Okra crop ?
","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-10T10:47:43.713"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer want to know information about in training ?","NA","MADHYA PRADESH","BHOPAL","BERASIA","2019-05-10T10:49:26.847"
