"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Weather","Information regarding Contact no. of Punjab Agricultural University Ludhiana ?
","The contact no. of Punjab Agricultural University Ludhiana is 0161-2401960.
","PUNJAB","PATHANKOT","PANOOR","2019-01-01T06:48:52.89"
"NA","AGRICULTURE","Others","Others","Weather"," Information regarding weather forecasting? 
","Mostly cloudy and chances of light rainfall and thunderstorm.
","PUNJAB","PATHANKOT","DHARKALAN","2019-01-01T09:02:30.697"
"NA","AGRICULTURE","Others","Others","Weather"," Information regarding weather forecasting? 
"," weather is cloudy but no chances of rainfall today 
","PUNJAB","PATHANKOT","PANOOR","2019-01-01T13:58:23.963"
"NA","AGRICULTURE","Others","Others","Weather","
 information regarding weather forecasting? 
 ","weather is cloudy but no chances of rainfall today 
","PUNJAB","PATHANKOT","SUJANPUR","2019-01-01T14:11:31.93"
"NA","AGRICULTURE","Others","Others","Weather"," information regarding weather forecasting? 
"," weather is cloudy but no chances of rainfall today 
","PUNJAB","PATHANKOT","0   ","2019-01-01T14:35:01.44"
"NA","AGRICULTURE","Others","Others","Weather"," information regarding weather forecasting? 
 ","weather is cloudy but no chances of rainfall today 
","PUNJAB","PATHANKOT","0   ","2019-01-01T14:39:02.04"
"NA","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Information regarding method of fertilizer application in wheat ?
","Drill half(55kg) dose of nitrogen and whole(55kg) DAP and Potash(20kg) at the time of sowing and remaining (55kg) nitrogen at 1st irrigation.
","PUNJAB","PATHANKOT","NAROT JAIMAL SINGH","2019-01-01T15:33:15.54"
"NA","AGRICULTURE","Others","Others","Weather"," Information regarding weather forecasting? 
"," Weather is cloudy but no chances of rainfall today 
","PUNJAB","PATHANKOT","PANOOR","2019-01-01T15:50:06.983"
"NA","HORTICULTURE","Fruits","Citrus","	Plant Protection	","information regarding control of foot rot/gummosis in citrus?
","drench 50 ml sodium hypochloride 5% mixed with 10 liter of water per plant
","PUNJAB","PATHANKOT","PANOOR","2019-01-01T16:01:38.013"
"NA","HORTICULTURE","Fruits","Citrus","Nutrient Management","information regarding prepration of bordeaux mixture?
","dissolve 2 kg of copper sulphate in 125 liters of hot water(don’t dissolve in metallic vessel) and  dissolve 2 kg of unslaked lime in another vessel in 125 liters of water then mix it both solution(2:2:250).
","PUNJAB","PATHANKOT","PANOOR","2019-01-01T16:02:01.85"
"NA","HORTICULTURE","Fruits","Citrus","Nutrient Management","information regarding bordeaux paste ?
","use copper sulphate 2 kg + quick lime 3 kg in 15 litres of water(2:3:15) to prepare bordeaux paste.
","PUNJAB","PATHANKOT","PANOOR","2019-01-01T16:02:32.193"
"NA","HORTICULTURE","Fruits","Citrus","Fertilizer Use and Availability","information regarding fertilizer doses in citrus?
","recommended fertilizer doses for citrus-(1-3 years plant) -FYM-5-20 kg ,urea-110-330 gram per plant ,(4-6 years plant) -FYM -25-50kg ,urea-440-550 gram  per plant,(7-9 years plants )-FYM -60-90 kg ,urea-660-880 gram and (10 and above)-FYM-100 kg ,urea-880-1760 g per plant
","PUNJAB","PATHANKOT","PANOOR","2019-01-01T16:03:04.97"
"NA","HORTICULTURE","Fruits","Citrus","Fertilizer Use and Availability","information regarding fertilizer doses in kinnow .
","recommended fertilizer doses for kinnow-(1-3 years plant) -FYM-10-30 kg ,urea-240-730 gram per plant ,(4-7 years plant) -FYM -40-80 kg ,urea-970-1690 gram and super phosphate-1370-2400 gram per plant,(8 year and above )-FYM -100 kg ,urea-1940 gram and super phosphate-2730 gram 
","PUNJAB","PATHANKOT","PANOOR","2019-01-01T16:03:25.423"
"NA","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","Information regarding control of Rust in Pea?
","control of Rust in Pea spray 400g Indofil M-45 in 200lt water per acre.
","PUNJAB","PATHANKOT","NAROT JAIMAL SINGH","2019-01-01T19:39:27.533"
"NA","AGRICULTURE","Others","Others","Weather"," information regarding weather forecasting? 
"," weather is cloudy but no chances of rainfall today 
","PUNJAB","PATHANKOT","PANOOR","2019-01-02T06:26:27.273"
"NA","AGRICULTURE","Others","Others","Market Information","INFORMATION REGARDING MARKET PRICE OF COTTON?","01/01/2019Mandi  : AboharCommodity : Cotton(Modal Price): 5720/Quintal","PUNJAB","PATHANKOT","PANOOR","2019-01-02T06:29:24.943"
"NA","AGRICULTURE","Others","Others","Weather","
 information regarding weather forecasting? 
"," weather is cloudy but no chances of rainfall today 
","PUNJAB","PATHANKOT","PANOOR","2019-01-02T07:40:50.73"
"NA","AGRICULTURE","Others","Others","Weather"," Information regarding weather forecasting? 
","Mostly cloudy and chances of light rainfall and thunderstorm.
","PUNJAB","PATHANKOT","PATHANKOT","2019-01-02T07:57:37.913"
"NA","AGRICULTURE","Others","Others","Weather","
 information regarding weather forecasting? 
"," weather is cloudy but no chances of rainfall today 
","PUNJAB","PATHANKOT","BAMIAL","2019-01-02T08:18:22.293"
"NA","AGRICULTURE","Others","0","Weather","_ information regarding weather forecasting?_ 
","_ weather is cloudy but no chances of rainfall today_ 
","PUNJAB","PATHANKOT","SUJANPUR","2019-01-02T08:27:19.68"
