"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","HORTICULTURE","Fruits","Papaya","Seeds and Planting Material","Farmer want to know information about variety of Papaya crop ? ","NA","MADHYA PRADESH","GWALIOR","BHITARWAR","2019-12-01T10:20:43.66"
"NA","AGRICULTURE","Others","Others","Government Schemes","farmer wants to know about the Kisan Samman Nidhi Yojana?
","NA","MADHYA PRADESH","GWALIOR","GHATIGAON","2019-12-01T10:45:33.537"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Farmer want to know information about how to  control of flower   drop in Chilli crop ? ","NA","MADHYA PRADESH","GWALIOR","MORAR","2019-12-01T10:51:24.837"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Farmer want to know information about how to control sucking pest in Chilli crop ?","NA","MADHYA PRADESH","GWALIOR","MORAR","2019-12-01T10:52:19.047"
"NA","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Farmer wants to know about fertilizer dose in irrigated wheat crop?","NA","MADHYA PRADESH","GWALIOR","GHATIGAON","2019-12-01T11:25:07.473"
"NA","AGRICULTURE","Others","Others","Government Schemes","farmer wants to information of pmkisan Samman Nidhi Yojna ?","NA","MADHYA PRADESH","GWALIOR","GHATIGAON","2019-12-01T13:26:54.347"
"NA","AGRICULTURE","Others","Others","Market Information","Farmer asked price detail of Paddy(Dhan)(Common) in Dabra mandi.","NA","MADHYA PRADESH","GWALIOR","MORAR","2019-12-01T14:34:10.51"
"NA","AGRICULTURE","Others","Others","Weather","Farmer asked query on Weather","NA","MADHYA PRADESH","GWALIOR","BHITARWAR","2019-12-01T17:49:13.16"
"NA","AGRICULTURE","Others","Others","Weather","Farmer asked query on Weather","NA","MADHYA PRADESH","GWALIOR","BHITARWAR","2019-12-01T18:07:49.507"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about govt. Schemes?
","NA","MADHYA PRADESH","GWALIOR","DABRA","2019-12-01T20:11:24.317"
"NA","AGRICULTURE","Others","Others","Weather","Farmer asked query on Weather","NA","MADHYA PRADESH","GWALIOR","MORAR","2019-12-02T07:26:36.587"
"NA","HORTICULTURE","Vegetables","Watermelon","Cultural Practices","Farmer want to know  information about  watermelon production per hactyer  ?","NA","MADHYA PRADESH","GWALIOR","GHATIGAON","2019-12-02T08:23:14.343"
"NA","HORTICULTURE","Vegetables","Watermelon","Cultural Practices","Farmer want to know  information about sowing time in watermelon crop ?","NA","MADHYA PRADESH","GWALIOR","GHATIGAON","2019-12-02T08:36:23.987"
"NA","AGRICULTURE","Others","Others","Government Schemes","The farmer wants why his account has not yet received money under the Prime Minister Kisan Samman Nidhi Yojana?","NA","MADHYA PRADESH","GWALIOR","DABRA","2019-12-02T08:59:31.247"
"NA","AGRICULTURE","Others","Others","Weather","Farmer asked query on Weather","NA","MADHYA PRADESH","GWALIOR","BHITARWAR","2019-12-02T10:03:36.307"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer want to information about Pradhan Mantri Kisan Samman Nidhi Yojana?
","NA","MADHYA PRADESH","GWALIOR","DABRA","2019-12-03T16:47:19.83"
"NA","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","	Farmer needs information regarding caterpillar attack in  cauliflower   crop?","NA","MADHYA PRADESH","GWALIOR","DABRA","2019-12-03T19:25:13.207"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","farmer wants to know information about yield of chilli crop production?","NA","MADHYA PRADESH","GWALIOR","MORAR","2019-12-04T10:31:21.47"
"NA","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Government Schemes","farmer want to know information about purchasing and registration of sorghum crop ?
","NA","MADHYA PRADESH","GWALIOR","BHITARWAR","2019-12-04T14:24:33.677"
"NA","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Farmer want two know infermation about nutrient management in wheat?
","NA","MADHYA PRADESH","GWALIOR","BHITARWAR","2019-12-04T14:34:24.737"
"NA","AGRICULTURE","Cereals","Wheat","Varieties","Farmer want to know information about improved irrigated varieties of wheat ?","NA","MADHYA PRADESH","GWALIOR","DABRA","2019-12-04T17:00:39.99"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","farmer want to know information about fertilizer dose of wheat crop ?","NA","MADHYA PRADESH","GWALIOR","BHITARWAR","2019-12-04T17:22:45.953"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","farmer want to know information about fertilizer dose of wheat crop ?","NA","MADHYA PRADESH","GWALIOR","BHITARWAR","2019-12-04T17:22:46.017"
"NA","AGRICULTURE","Others","Others","Weather","Farmer asked query on Weather","NA","MADHYA PRADESH","GWALIOR","DABRA","2019-12-04T17:58:50.91"
"NA","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Farmer wants to know information about how to control caterpillar in brinjal crop  ?","NA","MADHYA PRADESH","GWALIOR","BHITARWAR","2019-12-04T18:22:11.883"
