"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Farmer needs information regarding how to control sucking pest in potato      crop?
","?	Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.
","MADHYA PRADESH","HOSHANGABAD","BABAI","2019-01-01T09:17:02.52"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Farmer want to know how to control fungal attack in ","Recommended for to control of fungal attack in gram crop use belidamycin 25ml at 15 liter of water","MADHYA PRADESH","HOSHANGABAD","HOSHANGABAD","2019-01-01T11:53:34.333"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer needs information regarding govt. schemes?","
Recommended for know about govt. schemes please contact rural agriculture extension officer.
","MADHYA PRADESH","HOSHANGABAD","PIPARIYA","2019-01-01T13:13:46.91"
"NA","AGRICULTURE","Others","Others","Government Schemes","Agriculture government schemes information?
","Recommended for Please contact your RAEO
","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-01T13:30:58.773"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Nutrient Management","Farmer needs information regarding how to increase growth of wheat?  
","Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.
","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-01T14:37:52.997"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about How to control of fungal attack in wheat  crop?	
","recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water
","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-01T15:30:51.567"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Farmer want to know how to control fungal attack in gram crop ?
","Recommended for to control of fungal attack in gram crop use thiophinate methyl 25 gram and streptocyclin 2 gram at 15 liter of water	
","MADHYA PRADESH","HOSHANGABAD","SOHAGPUR","2019-01-01T16:53:08.147"
"NA","AGRICULTURE","Others","Others","Weather","Farmer want to weather information of district?
","No rainfall chance in your district at next 08 days. weather will clear .  
","MADHYA PRADESH","HOSHANGABAD","BABAI","2019-01-01T17:49:03.05"
"NA","HORTICULTURE","Vegetables","Watermelon","	Plant Protection	","Farmer needs information regarding how to control sucking pest in  watermelon crop?
","Spray diAmethoate 30 EC 500 ml/ha ór 30 ml per pump 
","MADHYA PRADESH","HOSHANGABAD","KESLA","2019-01-01T20:48:43.57"
"NA","AGRICULTURE","Cereals","Wheat","Cultural Practices","Farmer wants to know information about How to control of fungal attack in wheat  crop?

","Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water.	
","MADHYA PRADESH","HOSHANGABAD","BANKHEDI","2019-01-02T09:07:52.507"
"NA","AGRICULTURE","Others","Others","Government Schemes","Agriculture government schemes information?","Recommended for Please contact your RAEO
","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-02T09:07:54.55"
"NA","AGRICULTURE","Others","Others","Weather","Farmer need weather information of Hoshangabad district of madhya pradesh.","Hoshangabad Weather Today (1–3 days) Mostly dry. Warm (max 27°C on Wed afternoon, min 12°C on Thu night). Wind will be generally light. Hoshangabad Weather (4–7 days) Mostly dry. Warm (max 28°C on Sun afternoon, min 12°C on Mon night). Wind will be generally light.","MADHYA PRADESH","HOSHANGABAD","HOSHANGABAD","2019-01-02T10:02:03.79"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information Govt. schemes?","Recommended for to know about govt. schemes please contect rural agriculture extension officer","MADHYA PRADESH","HOSHANGABAD","BABAI","2019-01-02T10:04:50.51"
"NA","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Farmer  wants  to know information about ferti. Schule for wheat crop ? ","commended dose of fertilizer for wheat crop urea 209 kg, dap 130 kg and mop 67 kg/ha ","MADHYA PRADESH","HOSHANGABAD","HOSHANGABAD","2019-01-02T10:11:20.36"
"NA","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Farmer wants to know information about how to increase vegetative growth of wheat ?  
","Recommended for to increase growth of wheat  foliar application of  19:19:19 water soluble fertilizer @ 100 gm/pump.
","MADHYA PRADESH","HOSHANGABAD","HOSHANGABAD","2019-01-02T10:13:46.723"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Weed Management","Farmer needs information regarding reduce effect of herbicide in soyabean crop?
","Recommended dose for reduce herbicide effect spray glucose 100 to 150 gram per pump.
","MADHYA PRADESH","HOSHANGABAD","PIPARIYA","2019-01-02T11:01:59.98"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Farmer need information regarding control measures of fungal attack in chillies crop?
","Recommended for to control of fungal attack use copper oxy chloride 50% WP (Blue copper or Dhanucop) or Copper Oxychloride 50 WG (blueget 727 sumil chemicals) 40 gram and streptocyclin 2 gram at 15 liter of water	
","MADHYA PRADESH","HOSHANGABAD","BABAI","2019-01-02T12:21:29"
"NA","AGRICULTURE","Cereals","Wheat","Cultural Practices","Farmer want to know information about  how to increase growth of  wheat crop ?
","Dear farmer for the good increasing growth of the crops, before arrival of flowers, foliar spray of soluble compost IFFCO N. P. K. 19:19:19 @ 100 grams per pump
","MADHYA PRADESH","HOSHANGABAD","BANKHEDI","2019-01-02T12:47:46.967"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer needs information regarding govt. schemes of horticulture?
","
Recommended for know about govt. schemes of horticulture please contact rural horticulture extension officer.
","MADHYA PRADESH","HOSHANGABAD","SOHAGPUR","2019-01-02T13:27:16.663"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer needs information regarding govt. schemes?
","Recommended for know about govt. schemes please contact rural agriculture extension officer.
","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-02T14:12:54.073"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer want to know information about govt. schemes ?
","Recommended for to know about govt. schemes please contact rural agriculture extension officer ..
","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-02T14:21:48.37"
"NA","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","Farmer needs information regarding govt. schemes ?
","Recommended for know about govt. schemes please contact rural agriculture extension officer
","MADHYA PRADESH","HOSHANGABAD","SOHAGPUR","2019-01-02T16:39:46.903"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","Farmer needs information regarding WATER MANAGEMENT in wheat? 
","Recommended for the crop requires 4-6 irrigations depending on the soil type and rainfall.Wheat crop requires minimum of 5 irrigations at the following critical stages.
1.Immediately after sowing
2.Crown root initiation: 15-20 DAS 
3.Active tillering stage: 35-40 DAS
4.Flowering stage: 50-55 DAS
5.Grain filling stage: 70-75 DAS
6.Crown root initiation and flowering are the most critical stages. Water stagnation should be voided at the time of germination.","MADHYA PRADESH","HOSHANGABAD","PIPARIYA","2019-01-02T16:56:59.047"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about govt. schemes?
","Recommended for to know about govt. schemes please contact rural agriculture extension officer.","MADHYA PRADESH","HOSHANGABAD","PIPARIYA","2019-01-02T17:00:27.31"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about govt. Schemes?
","Recommended for to know about govt. Schemes please contact rural agriculture extension officer.
","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-02T18:00:23.613"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Farmer want to know permanent treatment of wilt disease?
","Ukta prognosis measure -dlhni first deep plowing and preparing well for harvesting, the crop residues are burned to destroy the root, to destroy weeds grown around, were recommended by scientists to Bonnie on the date of planting, the proper management of farm drainage, 3-4-year crop cycle Do not follow the pulses crop, wheat crops Antrvrtiy bike Juavan mustard, soil amendment organic compost or green manure or dung rotten bacteria by using manure so these to reduce the severity of diseases, approved by the University of Agriculture Kismo prophylactic use of pulses, potash fertilizers nitrogen balance Sfur use, irrigation and plant only when the soil, before Bonnie Seed treatment Thairm or Benomil or Trikoderma By treated, the volume of 1 kg of ground treatment biological control Trikoderma Nadep manure granular fertilizer with 25 kg per acre at Boni to Bhurkav
","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-02T18:39:46.367"
"NA","AGRICULTURE","Cereals","Wheat","Seeds","farmer want to know about maturity of pusa tejas wheat?","pusa tejas wheat matured in 110-115 days","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-02T18:59:58.46"
"NA","AGRICULTURE","Others","Others","Cultural Practices","farmer want to know information about Bhavantar Yojna ?
","Please contact 18002332501, 0755-2550495 for information on Kisan Bhai Bhavanthar Yojana.
","MADHYA PRADESH","HOSHANGABAD","SEONI MALWA","2019-01-03T10:43:38.9"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","Farmer needs information regarding how to increase growth of wheat?  
","Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.
","MADHYA PRADESH","HOSHANGABAD","HOSHANGABAD","2019-01-03T10:55:30.757"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Farmer wants to know information about how to increase growth of wheat ?  
","Recommended for to increase growth of wheat  foliar application of iffco 0:52:34 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","HOSHANGABAD","BANKHEDI","2019-01-03T11:04:46.907"
"NA","AGRICULTURE","Others","Others","Government Schemes"," farmer wants to know information about agriculture insurance.
","Recommended for to know information about agriculture insurance contact to your nearest bank & dial (+91 755) 4026101/4026102/4026103, toll free helpline 1800-103-0061  
","MADHYA PRADESH","HOSHANGABAD","SOHAGPUR","2019-01-03T11:18:01.677"
