"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Weather","FARMER WANTS TO KNOW INFORMATION ABOUT WEATHER IN UJJAIN DISTRICT ?","
There is no possibility of rainfall for the next 5 days in your ujjaindistrict. Today the maximum temperature is 21 degree Celsius.
And the next day's temperature is 20-22 degree Celsius and the night temperature is 8-9 degree Celsius, and wind speed is running at a speed of 10 kilometers / h /
","MADHYA PRADESH","UJJAIN","TARANA","2019-01-01T07:52:49.123"
"NA","AGRICULTURE","Others","Others","Weather","Farmer needs information regarding for dist. Of state madhya pradesh?
","According to metrology department of india there is no chance of rainfall for next five days.
","MADHYA PRADESH","UJJAIN","BADNAGAR","2019-01-01T08:12:12.747"
"NA","AGRICULTURE","Others","Others","Government Schemes","FARMER WANTS TO KNOW INFORMATION ABOUT BHAVANTAR SCHEME?","
CONTACT NUMBER -0755-2550495
","MADHYA PRADESH","UJJAIN","BADNAGAR","2019-01-01T08:57:39.783"
"NA","HORTICULTURE","Condiments and Spices","Garlic","Fertilizer Use and Availability","farmer want to know information about  how to increase growth of  garlic ?
","pump","MADHYA PRADESH","UJJAIN","MAHIDPUR","2019-01-01T09:20:26.617"
"NA","AGRICULTURE","Others","Others","Weather","Farmer needs information regarding for dist. Of state madhya pradesh?","According to metrology department of india there is no chance of rainfall for next five days.","MADHYA PRADESH","UJJAIN","BADNAGAR","2019-01-01T10:01:56.467"
"NA","AGRICULTURE","Others","Others","Weather","Farmer needs information regarding for dist. Of state madhya pradesh?","According to metrology department of india there is no chance of rainfall for next five days.","MADHYA PRADESH","UJJAIN","BADNAGAR","2019-01-01T10:01:56.64"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Farmer want to know information about how to control frost ?
","Recommended spray  siapton(amino acids ) 30 -40 mili /pump  to control Frost 
","MADHYA PRADESH","UJJAIN","BADNAGAR","2019-01-01T10:17:33.373"
"NA","AGRICULTURE","Others","Others","Weather","Farmer needs information regarding for dist. Of state madhya pradesh?","According to metrology department of india there is no chance of rainfall for next five days.","MADHYA PRADESH","UJJAIN","BADNAGAR","2019-01-01T10:34:37.08"
"NA","HORTICULTURE","Condiments and Spices","Garlic","Market Information","Farmer wants to know about  rate of garlic at Indore mandi of Madhya Pradesh?
","Dear in your's Indore mandi the rate of garlic crop is 200 Rs. minimum/quintal 1600 Rs. maximum/quintal 1000 Rs. average/quintal.
","MADHYA PRADESH","UJJAIN","TARANA","2019-01-01T10:59:20.68"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Farmer needs information regarding protect of crops from frost?
","Recommended for spray bioforce 40ml per pump.
","MADHYA PRADESH","UJJAIN","GHATIYA","2019-01-01T11:09:01.103"
"NA","AGRICULTURE","Others","Others","Government Schemes","Farmer wants to know information about govt. schemes?","Recommended for to know about govt. schemes please contact rural agriculture extension officer.
","MADHYA PRADESH","UJJAIN","BADNAGAR","2019-01-01T11:22:00.103"
