"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Weather","MISSED CALL","NA","RAJASTHAN","AJMER","0   ","2019-09-01T07:48:17.123"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","AJMER","BHINAY","2019-09-01T07:55:36.457"
"NA","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME ABOUT INSECT CONTROL
","NA","RAJASTHAN","AJMER","BHINAY","2019-09-01T07:56:40.073"
"NA","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","TELL ME ABOUT INSECT CONTROL
","NA","RAJASTHAN","AJMER","BHINAY","2019-09-01T07:57:46.077"
"NA","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","	Plant Protection	","TELL ME DISEASE CONTROL IN  SORGHUM ?","NA","RAJASTHAN","AJMER","KISHANGARH","2019-09-01T08:27:06.4"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NA","RAJASTHAN","AJMER","KEKRI","2019-09-01T08:36:11.56"
"NA","AGRICULTURE","Others","Others","Weather","FARMER NOT ANSWER","NA","RAJASTHAN","AJMER","0   ","2019-09-01T08:49:02.707"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","AJMER","BHINAY","2019-09-01T09:30:38.403"
"NA","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL    ME    ABOUT   INSECT  CONTROL IN   COTTON  ?","NA","RAJASTHAN","AJMER","JAWAJA","2019-09-01T10:17:33.183"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","AJMER","KISHANGARH","2019-09-01T10:24:12.343"
"NA","AGRICULTURE","0","0","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","AJMER","BHINAY","2019-09-01T11:17:56.753"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TELL ME ABOUT INSECT CONTROL IN CHILLIES ?","NA","RAJASTHAN","AJMER","JAWAJA","2019-09-01T13:07:20.22"
"NA","AGRICULTURE","Others","Others","Government Schemes","TELL ME ABOUT Dr. Yashwant Singh Parmar University of Horticulture and Forestry, Solan,?","NA","RAJASTHAN","AJMER","KISHANGARH","2019-09-01T13:28:15.11"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NA","RAJASTHAN","AJMER","BHINAY","2019-09-01T13:56:07.22"
"NA","AGRICULTURE","Others","0","	Plant Protection	","TELL ME ABOUT INSECT CONTROL IN GWAR?
","NA","RAJASTHAN","AJMER","BHINAY","2019-09-01T14:05:48.913"
"NA","HORTICULTURE","Medicinal and Aromatic Plants","Tulsi","	Plant Protection	","TELL ME ABOUT INSECT CONTROL IN TULSI ?","NA","RAJASTHAN","AJMER","KEKRI","2019-09-01T14:55:37.403"
"NA","HORTICULTURE","Vegetables","Chillies","Cultural Practices","TELL ME VARIETY OF CHILLI ?","NA","RAJASTHAN","AJMER","0   ","2019-09-01T15:09:00.623"
"NA","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME INSECT CONTROL IN COTTON ?
","NA","RAJASTHAN","AJMER","ARAIN","2019-09-01T15:34:08.223"
"NA","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME INSECT CONTROL IN COTTON ?
","NA","RAJASTHAN","AJMER","ARAIN","2019-09-01T15:34:33.2"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NA","RAJASTHAN","AJMER","0   ","2019-09-01T16:43:24.35"
"NA","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","TELL ME ABOUT DISEASE CONTROL IN CAULIFLOWER ?","NA","RAJASTHAN","AJMER","PISANGAN","2019-09-01T17:25:58.157"
"NA","AGRICULTURE","Others","0","Government Schemes","TELL ME ABOUT SUBSIDY ON BATTARY SPRAYER?","NA","RAJASTHAN","AJMER","KISHANGARH","2019-09-01T18:17:00.67"
"NA","AGRICULTURE","Others","Others","Weather","FARMER NOT ANSWER","NA","RAJASTHAN","AJMER","0   ","2019-09-02T06:53:48.23"
"NA","AGRICULTURE","Others","Others","Weather","FARMER NOT ANSWER","NA","RAJASTHAN","AJMER","0   ","2019-09-02T07:17:45.08"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","AJMER","KEKRI","2019-09-02T07:54:05.593"
