"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","TELL ME ABOUT FROST SAVING
","SPRAY OF SULPHURE 2GM/LITER WATER FOR FROST SAVING
","RAJASTHAN","BIKANER","Khajuwala","2019-01-01T08:54:24.53"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY","RAJASTHAN","BIKANER","NOKHA","2019-01-01T09:02:03.473"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY
","RAJASTHAN","BIKANER","LUNKARANSAR","2019-01-01T09:04:07.967"
"NA","AGRICULTURE","Cereals","Wheat","Weed Management","TELL ME WEED CONTROL IN WHEAT","ALL WEED CONTROL IN WHEAT CROPS SPRAY VISTA ( CLODINAPHOP PROPARGYL 15 % + METASULFURANMETHYL 1%) 64 GM PAR HEC AFTER 30-35 DAYS
","RAJASTHAN","BIKANER","LUNKARANSAR","2019-01-01T09:08:30.067"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY","RAJASTHAN","BIKANER","LUNKARANSAR","2019-01-01T09:36:22.43"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY 
","RAJASTHAN","BIKANER","LUNKARANSAR","2019-01-01T09:37:59.947"
"NA","AGRICULTURE","Others","Others","Market Information","TELL ME ABOUT MARKET INFORMATION ?
","29/12/2018Mandi  : KhajuwalaCommodity : Guar Seed(Cluster Beans Seed)(Modal Price): 4060/Quintal","RAJASTHAN","BIKANER","Khajuwala","2019-01-01T09:38:59.37"
"NA","HORTICULTURE","Fruits","Citrus","Nutrient Management","TELL ME NUTRIENT MANAGEMENT  ?
","MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE
","RAJASTHAN","BIKANER","BIKANER","2019-01-01T09:55:52.513"
"NA","AGRICULTURE","Others","Others","Market Information","TELL ME ABOUT GUAR MANDI BAV ?","GUAR MANDI BAV -4128 R/Q","RAJASTHAN","BIKANER","SRI DUNGARGARH","2019-01-01T09:58:04.29"
"NA","HORTICULTURE","Fruits","Aonla","Nutrient Management","TELL ME NUTRIENT MANAGEMENT  ?
","MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE
","RAJASTHAN","BIKANER","LUNKARANSAR","2019-01-01T10:05:21.453"
