"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Government Schemes","TELL ME ABOUT MARKET INFORMETION IN VHANA  ? ","NA","RAJASTHAN","CHITTAURGARH","DUNGLA","2019-05-01T07:09:58.173"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","
TELL ME ABOUT LEAF BLIGHTE CONTROL IN CHILLIES ? 
","NA","RAJASTHAN","CHITTAURGARH","CHITTAURGARH","2019-05-01T08:52:43.093"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NA","RAJASTHAN","CHITTAURGARH","BHADESAR","2019-05-01T10:19:23.317"
"NA","AGRICULTURE","Others","Others","Government Schemes","TELL ME ABOUT MARKET INFORMATION ?","NA","RAJASTHAN","CHITTAURGARH","CHITTAURGARH","2019-05-01T10:49:19.72"
"NA","AGRICULTURE","Millets","Maize (Makka)","Varieties","TELL ME VARIETY OF MAIZE","NA","RAJASTHAN","CHITTAURGARH","BHADESAR","2019-05-01T11:01:29.67"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TELL ME   ABOUT INSECT CONTROL IN   CHILLI  ?
","NA","RAJASTHAN","CHITTAURGARH","NIMBAHERA","2019-05-01T11:36:54.38"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NA","RAJASTHAN","CHITTAURGARH","NIMBAHERA","2019-05-01T11:56:28.93"
"NA","AGRICULTURE","Others","Others","Weather","
TELL ME ABOUT SUBSIDY ON PIPE LINE ?","NA","RAJASTHAN","CHITTAURGARH","KAPASAN","2019-05-01T12:00:11.733"
"NA","AGRICULTURE","Others","Others","Weather","BLANK CALL","NA","RAJASTHAN","CHITTAURGARH","BARI SADRI","2019-05-01T12:36:51.263"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NA","RAJASTHAN","CHITTAURGARH","CHITTAURGARH","2019-05-01T12:38:52.977"
"NA","AGRICULTURE","Others","Others","Weather","
TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","NIMBAHERA","2019-05-01T12:45:50.123"
"NA","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","TELL ME  ABOUT  INSECT CONTROL IN  CUCUMBER  ?
","NA","RAJASTHAN","CHITTAURGARH","BHOPALSAGAR","2019-05-01T13:10:14.637"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","KAPASAN","2019-05-01T13:48:45.577"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","RASHMI","2019-05-01T15:03:03.213"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?

","NA","RAJASTHAN","CHITTAURGARH","NIMBAHERA","2019-05-01T15:41:59.353"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","BHADESAR","2019-05-01T16:30:59.237"
"NA","AGRICULTURE","Others","Others","Market Information","TELL ME ABOUT RATE OF MUSTARD IN BADISADRI MANDI ?","NA","RAJASTHAN","CHITTAURGARH","CHHOTI SADRI","2019-05-01T16:54:57.29"
"NA","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Varieties","TELL ME ABOUT THE VARIETY OF BT COTTON ?","NA","RAJASTHAN","CHITTAURGARH","BARI SADRI","2019-05-01T18:18:16.893"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","GANGRAR","2019-05-01T18:47:15.657"
"NA","AGRICULTURE","Others","Others","Weather","
TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","DUNGLA","2019-05-01T18:48:12.067"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","CHITTAURGARH","2019-05-01T20:05:12.37"
"NA","AGRICULTURE","Others","Others","Government Schemes","tell me about the Kisan credit card loan ?","NA","RAJASTHAN","CHITTAURGARH","KAPASAN","2019-05-01T21:23:44.24"
"NA","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Varieties","TELL ME VAREITY OF GROUNDNUT ?
","NA","RAJASTHAN","CHITTAURGARH","CHITTAURGARH","2019-05-01T21:49:10.517"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","CHHOTI SADRI","2019-05-02T06:36:49.967"
"NA","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	"," TELL ME  COTTON SOWING TIME ","NA","RAJASTHAN","CHITTAURGARH","CHHOTI SADRI","2019-05-02T06:44:54.273"
"NA","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","TELL ME CONTROL OF BACTERIAL BLIGHT DISEASE IN TOMATO  ?","NA","RAJASTHAN","CHITTAURGARH","KAPASAN","2019-05-02T11:36:57.967"
"NA","AGRICULTURE","Others","Others","Market Information","TELL ME CONTACT NUMBER OF RAJFED ?
","NA","RAJASTHAN","CHITTAURGARH","BARI SADRI","2019-05-02T11:38:31.677"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","BEGUN","2019-05-02T11:52:32.387"
"NA","AGRICULTURE","Others","Others","Market Information","incomplete call","NA","RAJASTHAN","CHITTAURGARH","BARI SADRI","2019-05-02T12:50:25.093"
"NA","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Varieties","TELL ME VAREITY OF GROUNDNUT ?","NA","RAJASTHAN","CHITTAURGARH","CHITTAURGARH","2019-05-02T12:52:15.073"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NA","RAJASTHAN","CHITTAURGARH","BHADESAR","2019-05-02T14:20:06.713"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NA","RAJASTHAN","CHITTAURGARH","KAPASAN","2019-05-02T16:11:47.19"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NA","RAJASTHAN","CHITTAURGARH","GANGRAR","2019-05-02T16:29:16.36"
"NA","AGRICULTURE","Others","Others","	Field Preparation	","Asked for SMS activation ?
","NA","RAJASTHAN","CHITTAURGARH","CHITTAURGARH","2019-05-02T16:57:53.077"
"NA","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","TELL ME ANIMAL HUSBANDRY  CONTACT NUMBER  ?
","NA","RAJASTHAN","CHITTAURGARH","BHADESAR","2019-05-02T17:29:41.47"
"NA","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","TELL ME INSECT CONTROL IN BHINDI ?
","NA","RAJASTHAN","CHITTAURGARH","DUNGLA","2019-05-02T18:04:20.787"
"NA","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","TELL ME ABOUT SOWING TIME IN TOMATO ?","NA","RAJASTHAN","CHITTAURGARH","DUNGLA","2019-05-02T18:09:46.593"
"NA","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Varieties","TELL  ME  VARIETY OF AMERICAN COTTON   ?","NA","RAJASTHAN","CHITTAURGARH","KAPASAN","2019-05-02T19:29:46.703"
"NA","AGRICULTURE","Others","Others","Government Schemes","TELL ME SUBSIDY ON SPRINKLER SYSTEM  ?","NA","RAJASTHAN","CHITTAURGARH","BARI SADRI","2019-05-02T19:49:34.313"
"NA","AGRICULTURE","Others","Others","Nutrient Management","TELL ME CONTROL OF FLOWER DROPING 
","NA","RAJASTHAN","CHITTAURGARH","CHITTAURGARH","2019-05-02T20:41:04.83"
"NA","AGRICULTURE","Oilseeds","Mustard","Market Information","02/05/2019Mandi  : NimbaheraCommodity : Mustard(Modal Price)","NA","RAJASTHAN","CHITTAURGARH","BHADESAR","2019-05-02T21:48:47.317"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NA","RAJASTHAN","CHITTAURGARH","BHAINSRORGARH","2019-05-03T07:37:34.62"
