"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY 
","RAJASTHAN","JAIPUR","DUDU","2019-01-01T09:18:17.493"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY
","RAJASTHAN","JAIPUR","DUDU","2019-01-01T09:26:30.523"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT FROST SAVING","SPRAY OF SULPHURE 2GM/LITER WATER FOR FROST SAVING
","RAJASTHAN","JAIPUR","AMBER","2019-01-01T09:28:01.6"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY 
","RAJASTHAN","JAIPUR","JAMWA RAMGARH","2019-01-01T09:38:21.663"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY
","RAJASTHAN","JAIPUR","AMBER","2019-01-01T10:05:02.89"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY 
","RAJASTHAN","JAIPUR","DUDU","2019-01-01T10:21:09.89"
"NA","HORTICULTURE","Fruits","Lemon","	Plant Protection	","TELL ME ABOUT INSECT CONTROL IN LEMON ?","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER  
","RAJASTHAN","JAIPUR","DUDU","2019-01-01T10:28:19.69"
"NA","HORTICULTURE","Fruits","Citrus","Nutrient Management","TELL ME NUTRIENT MANAGEMENT IN CITRUS ?","FERTILIZER IN LEMON OF 3 YRS. FYM= 10 KG, UREA= 50 GM, DAP= 50 GM, MOP= 50 GM PER PLANT 
","RAJASTHAN","JAIPUR","KOTPUTLI","2019-01-01T10:29:01.673"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","TELL ME ABOUT INSECT CONTROL IN WHEAT ?","  USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION   
","RAJASTHAN","JAIPUR","DUDU","2019-01-01T10:31:23.883"
"NA","AGRICULTURE","Others","Others","Nutrient Management","
TELL ME ABOUT FROST SAVING IN ASHOKA ?","SPRAY OF SULPHURE 2GM/LITER WATER FOR FROST SAVING
","RAJASTHAN","JAIPUR","PHAGI","2019-01-01T10:36:52.753"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY 
","RAJASTHAN","JAIPUR","SANGANER","2019-01-01T10:53:41.64"
