"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS AND CLOUD  
","RAJASTHAN","JHUNJHUNU","BUHANA","2019-02-01T06:38:23.7"
"NA","AGRICULTURE","Others","Others","Weather","FOR CALLING KISAAN CALL CENTER
","THANX FOR CALLING KISAAN CALL CENTER
","RAJASTHAN","JHUNJHUNU","SURAJGARH","2019-02-01T08:48:44.383"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","TELL ME NUTRIENT MANAGEMENT IN WHEAT  ?
","SPRAY SOLUBLE NPK 18:18:18 GRADE 10 GM/LTR WATER 
","RAJASTHAN","JHUNJHUNU","SURAJGARH","2019-02-01T08:51:03.663"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY
","RAJASTHAN","JHUNJHUNU","KHETRI","2019-02-01T08:54:02.177"
"NA","AGRICULTURE","Others","Others","Weather","
FOR CALLING KISAAN CALL CENTER
","THANX FOR CALLING KISAAN CALL CENTER
","RAJASTHAN","JHUNJHUNU","0   ","2019-02-01T09:41:06.62"
"NA","HORTICULTURE","Vegetables","Bottle Gourd ","Seeds and Planting Material","TELL ME ABOUT SEED RATE OF BOTTLE GOURD ?"," SEED RATE OF BOTTLE GOURD - 4-5 KG PER HACTARE","RAJASTHAN","JHUNJHUNU","CHIRAWA","2019-02-01T10:45:07.423"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","TELL ME NUTRIENT MANAGEMENT  ?
","SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER 
","RAJASTHAN","JHUNJHUNU","CHIRAWA","2019-02-01T10:54:22.92"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY
","RAJASTHAN","JHUNJHUNU","CHIRAWA","2019-02-01T10:55:37.72"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","TELL ME NUTRIENT MANAGEMENT  ?","SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER 
","RAJASTHAN","JHUNJHUNU","SURAJGARH","2019-02-01T10:56:53.307"
"NA","HORTICULTURE","Vegetables","Onion","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY
","RAJASTHAN","JHUNJHUNU","JHUNJHUNUN","2019-02-01T11:14:31.423"
"NA","AGRICULTURE","Others","Others","Soil Health Card","TELL ME ABOUT TAKING SOIL SAMPLE ?
","DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL 
","RAJASTHAN","JHUNJHUNU","CHIRAWA","2019-02-01T11:25:40.85"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","TELL ME ABOUT INSECT CONTROL IN WHEAT ?
","  USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION   
","RAJASTHAN","JHUNJHUNU","UDAIPURWATI","2019-02-01T12:26:22.42"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","TELL ME ABOUT INSECT CONTROL IN WHEAT ?
","USE CARBOFURAN 3% G 25-30 KG PER HA
","RAJASTHAN","JHUNJHUNU","UDAIPURWATI","2019-02-01T12:32:40.837"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","TELL ME NUTRIENT MANAGEMENT  ?
","SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER 
","RAJASTHAN","JHUNJHUNU","JHUNJHUNUN","2019-02-01T12:35:30.19"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","TELL ME ROOT ROT CONTROL IN WHEAT ?
","USE CARBENDAZIM 250 GM/ BHEEGA IN ROOT ZONE WITH IRRIGATION
","RAJASTHAN","JHUNJHUNU","JHUNJHUNUN","2019-02-01T12:40:05.303"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY 
","RAJASTHAN","JHUNJHUNU","CHIRAWA","2019-02-01T13:56:41.25"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY 
","RAJASTHAN","JHUNJHUNU","ALSISAR","2019-02-01T14:20:40.97"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?"," NO RAIN POSSIBILITY IN NEXT 2-3 DAYS BUT CLOUDY SKY
","RAJASTHAN","JHUNJHUNU","SURAJGARH","2019-02-01T14:30:03.297"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY
","RAJASTHAN","JHUNJHUNU","CHIRAWA","2019-02-01T15:41:30.267"
"NA","AGRICULTURE","Cereals","Wheat","Nutrient Management","TELL ME NUTRIENT MANAGEMENT  ?
","SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER 
","RAJASTHAN","JHUNJHUNU","SURAJGARH","2019-02-01T15:54:13.167"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY 
","RAJASTHAN","JHUNJHUNU","CHIRAWA","2019-02-01T15:54:35.04"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","TELL ME ABOUT INSECT CONTROL IN 
","  USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION   
","RAJASTHAN","JHUNJHUNU","BUHANA","2019-02-01T16:34:26.91"
"NA","HORTICULTURE","Vegetables","Onion","	Plant Protection	","TELL ME ROOT ROT CONTROL IN ONION ?","
USE CARBENDAZIM 250 GM/ BHEEGA IN ROOT ZONE WITH IRRIGATION
","RAJASTHAN","JHUNJHUNU","UDAIPURWATI","2019-02-01T16:49:18.633"
"NA","AGRICULTURE","Others","Others","Weather","FOR CALLING KISAAN CALL CENTER
","THANX FOR CALLING KISAAN CALL CENTER
","RAJASTHAN","JHUNJHUNU","JHUNJHUNUN","2019-02-01T17:42:08.73"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY 
","RAJASTHAN","JHUNJHUNU","BUHANA","2019-02-01T18:05:31.07"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","TELL ME ROOT ROT CONTROL IN GRAM ?
","USE CARBENDAZIM 250 GM/ BHEEGA IN ROOT ZONE WITH IRRIGATION
","RAJASTHAN","JHUNJHUNU","CHIRAWA","2019-02-01T19:48:13.053"
"NA","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","TELL ME ROOT ROT CONTROL IN  GRAM ?
","USE CARBENDAZIM 250 GM/ BHEEGA IN ROOT ZONE WITH IRRIGATION
","RAJASTHAN","JHUNJHUNU","CHIRAWA","2019-02-01T19:58:08.017"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY
","RAJASTHAN","JHUNJHUNU","BUHANA","2019-02-01T21:04:42.53"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?"," NO RAIN POSSIBILITY IN NEXT 2-3 DAYS BUT CLOUDY SKY
","RAJASTHAN","JHUNJHUNU","JHUNJHUNUN","2019-02-02T07:50:59.037"
"NA","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY
","RAJASTHAN","JHUNJHUNU","JHUNJHUNUN","2019-02-02T10:25:45.44"
"NA","AGRICULTURE","Others","0","Weather","TELL ME ABOUT WEATHER INFORMATION ?
","NO RAIN POSSIBILITY IN NEXT 5 DAYS  BUT CLOUDY SKY
","RAJASTHAN","JHUNJHUNU","BUHANA","2019-02-02T15:55:50.7"
"NA","AGRICULTURE","Cereals","Wheat","	Plant Protection	","TELL ME DISEASE CONTROL IN WHEAT ?
","SPRAY OF HEXACONAZOLE 5% EC 2 ML PER LITER WATER 
","RAJASTHAN","JHUNJHUNU","UDAIPURWATI","2019-02-02T16:06:49.5"
