"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"NA","AGRICULTURE","Cereals","Wheat","Seeds","TELL ME LATE VARIETY OF WHEAT  ?
","NA","RAJASTHAN","JODHPUR","OSIAN","2019-12-01T06:36:54.743"
"NA","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","TELL ME SOWING TIME OF JEERA  ?","NA","RAJASTHAN","JODHPUR","OSIAN","2019-12-01T06:37:50.75"
"NA","AGRICULTURE","Cereals","Wheat","Weed Management","TELL ME ABOUT OF WEED CONTROL IN WHEAT ?","NA","RAJASTHAN","JODHPUR","BAP","2019-12-01T07:33:02.487"
"NA","AGRICULTURE","Cereals","Wheat","Weed Management","TELL ME ABOUT WEED MANAGEMENT ?","NA","RAJASTHAN","JODHPUR","BILARA","2019-12-01T07:34:02.173"
"NA","AGRICULTURE","Others","Others","Market Information","Farmer asked price detail of Groundnut in Jodhpur (Grain) mandi.","NA","RAJASTHAN","JODHPUR","PHALODI","2019-12-01T07:53:50.39"
"NA","AGRICULTURE","Others","Others","Market Information","Farmer asked query on Mandi details","NA","RAJASTHAN","JODHPUR","PHALODI","2019-12-01T07:54:37.8"
"NA","AGRICULTURE","Others","Others","Weather","Farmer asked query on Weather","NA","RAJASTHAN","JODHPUR","SHERGARH","2019-12-01T07:56:30.837"
"NA","AGRICULTURE","Others","Others","Weather","Farmer asked query on Weather","NA","RAJASTHAN","JODHPUR","PHALODI","2019-12-01T07:56:35.643"
"NA","HORTICULTURE","Condiments and Spices","Cumin","Cultural Practices"," TELL ME  WEED CONTROL IN CUMIN ","NA","RAJASTHAN","JODHPUR","BILARA","2019-12-01T08:29:11.183"
"NA","HORTICULTURE","Fruits","Ber","Nutrient Management","Tell me what are the remedies to prevent flowering in the plum plant.","NA","RAJASTHAN","JODHPUR","LUNI","2019-12-01T08:50:48.087"
"NA","AGRICULTURE","Others","Others","Weather","Farmer asked query on Weather","NA","RAJASTHAN","JODHPUR","BHOPALGARH","2019-12-01T08:53:53.4"
"NA","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","TELL ME WEED CONTROL IN CUMIN ?
","NA","RAJASTHAN","JODHPUR","BHOPALGARH","2019-12-01T09:00:27.007"
"NA","AGRICULTURE","Others","Others","Weather","Farmer asked query on Weather","NA","RAJASTHAN","JODHPUR","OSIAN","2019-12-01T09:22:43.003"
